id,rating,product_id,review
169,5,36134,"A wonderful experience, will definitely buy again!"
170,1,36135,"Terrible product, broke after one use."
171,3,36136,"Decent, but I’ve seen better alternatives."
172,4,36137,"Really solid product, I like it a lot."
173,5,36138,"Exceeded all my expectations, fantastic!"
174,2,36139,"It’s just okay, I wouldn’t buy it again."
175,3,36140,"Average product, meets the basic requirements."
176,2,10123,"Disappointed with the quality; it broke after a week."
177,2,10234,"Not what I expected, but it works for now."
178,2,10345,"Service was slow, and the product is just okay."
179,3,10456,"Decent item, but I would recommend looking for better options."
180,3,10567,"Average quality. It does the job but isn’t impressive."
181,3,10678,"Good but not great. Could use some improvements."
182,4,10789,"Quite good! Satisfied with my purchase, would buy again."
183,4,10890,"Solid performance, but not without some minor flaws."
184,4,10901,"Very reliable and performs as advertised."
185,2,11012,"Too many problems for a product at this price point."
186,2,11023,"The item does not match the description, very misleading."
187,2,11034,"It works, but I expected better quality for the cost."
188,3,11045,"It’s okay, nothing exceptional. It gets the job done."
189,3,11056,"Not bad, but I wouldn’t recommend it to a friend."
190,3,11067,"Satisfactory performance, but the design could be improved."
191,4,11078,"Really impressed with the value for money, good product!"
192,4,11089,"Almost perfect, just needs a few tweaks to be excellent."
193,4,11100,"Solid build quality and functionality, highly recommend."
194,2,11111,"Did not meet my expectations, too many flaws."
195,2,11122,"The quality is subpar; I expected much better."
196,2,11133,"Disappointing performance; it frequently malfunctions."
197,3,11144,"Decent for everyday use, but not something I would brag about."
198,3,11155,"Average experience, it works but has some drawbacks."
199,3,11166,"Good for the price, but it could use some improvements."
200,4,11177,"Great value for money; I would recommend it to others."
201,4,11188,"Very good product overall; just a couple of minor issues."
202,4,11199,"Impressive quality for the price; exceeded my expectations."
203,2,22211,"The product is okay, but it feels cheap and flimsy."
204,2,22222,"Not what I expected; it doesn't perform well in real-world conditions."
205,2,22233,"I was let down by this product; it has too many issues to be worth it."
206,3,22244,"This product is satisfactory; it gets the job done but lacks features."
207,3,22255,"It’s a fair product, but I wouldn’t recommend it without reservations."
208,3,22266,"Serviceable and functional, though not without its quirks."
209,2,22277,"I wouldn’t buy this again; it’s too unreliable for my needs."
210,3,22288,"It’s alright for casual use, but don’t expect anything amazing."
211,2,33311,"The quality is lacking; it broke after a few uses."
212,2,33322,"Not worth the price; I expected better durability."
213,2,33333,"Disappointed with the performance; it didn’t meet my needs."
214,3,33344,"Decent product, but it could be improved with better features."
215,3,33355,"It’s a middle-of-the-road option; does the job but nothing more."
216,3,33366,"Fairly good; it works as intended but lacks some essential functions."
217,2,33377,"I wouldn’t recommend this to my friends; there are better options available."
218,3,33388,"Average quality; suitable for temporary use but not for long-term."
219,2,33401,"Poor quality; not as described and didn’t meet my expectations."
220,2,33402,"Very disappointing; it malfunctioned within a week of use."
221,2,33403,"The product looks nice but fails to perform effectively."
222,3,33404,"Good for the price; it’s a decent choice for casual use."
223,3,33405,"Not bad overall; works well but has some minor flaws."
224,3,33406,"I like it, but it lacks some features that would make it great."
225,2,33407,"This product is just okay; not what I expected at all."
226,3,33408,"Functional and useful; I would recommend it with some reservations."
227,2,33409,"Disappointed with the build quality; it feels cheap and flimsy."
228,2,33410,"Not worth the price; it underperformed compared to similar products."
229,2,33411,"Had high hopes, but it didn’t deliver; I wouldn’t buy it again."
230,2,33412,"Failed to meet expectations; I was let down by its performance."
231,2,33413,"Looks good, but it stopped working after a short time."
232,2,33414,"Not reliable; I experienced several issues within the first week."
233,2,33415,"Mediocre product; it does the job but has many flaws that are hard to ignore."
234,4,55671,"Great product overall! It meets my expectations and performs well."
235,4,55672,"Very good quality; I am pleased with the results so far."
236,4,55673,"Solid performance and good value for the price; I would recommend it."
237,4,55674,"I’m happy with this purchase; it has worked well for my needs."
238,4,55675,"Nice design and functionality; it’s close to perfect, just a few minor issues."
239,4,55676,"I like it a lot; very few complaints, and it delivers as promised."
240,4,55677,"Good choice for the price; I would buy it again in the future."
241,4,55678,"Really good, it almost exceeded my expectations! Just a few tweaks needed."
242,4,55679,"I was pleasantly surprised by this product; very effective and reliable."
243,4,55680,"A solid choice! It has been functioning well, and I’m satisfied with my purchase."
244,4,55681,"Good quality for the price; it does what I need it to do without any fuss."
245,4,55682,"It’s a great product, though I wish it had a few more features."
246,4,55683,"Very pleased with my purchase; it performs well and looks good too."
247,4,55684,"Happy with my experience; the product works as described and is well-made."
248,4,55685,"Very good overall experience. Would recommend it to others."
249,4,55686,"Almost perfect! Just a minor issue that was easy to fix."
250,4,55687,"A solid product! It does its job well, and I’m happy with it."
251,4,55688,"Impressive performance! I would buy it again without hesitation."
252,4,55689,"Good value for the price. Met my expectations and more."
253,4,55690,"A reliable product that I can count on. Very satisfied with my choice."
254,4,55691,"Almost everything about this product is great! Just a few small tweaks would make it perfect."
255,5,78901,"Absolutely amazing! Exceeded all my expectations."
256,5,78902,"Perfect! I couldn’t be happier with this purchase."
257,5,78903,"Top-notch quality! Highly recommend to everyone."
258,5,78904,"Best product I’ve ever bought! Worth every penny."
259,5,78905,"Fantastic experience! I will definitely buy from here again."
260,5,78906,"Completely satisfied! This product has changed my life for the better."
261,5,78907,"Superb! It does everything I hoped for and more."
262,5,78908,"Incredible value! I can’t believe how good this is for the price."
263,5,78909,"Outstanding product! I recommend it to all my friends."
264,5,78910,"Five stars! It’s just perfect in every way."
265,5,78911,"Exceptional quality! I’m impressed with how well it works."
266,5,78912,"Best purchase ever! I can’t imagine my life without it."
267,5,78913,"Love it! It performs beyond my expectations every time."
268,5,78914,"Incredible product! I’ve already recommended it to others."
269,5,78915,"Absolutely worth it! I would buy this again in a heartbeat."
270,5,78916,"Amazing experience! This product has made my life easier."
